CP;COMMUNE;RAC;DATE_;LAT;LNG
34970;LATTES;Appareils publics;23/févr/2005 12:00:00 AM;43.56372;3.898955
34970;LATTES;Appareils publics;05/mai/2006 12:00:00 AM;43.56372;3.898955
34970;LATTES;Appareils publics;11/mai/2004 12:00:00 AM;43.566667;3.9
34970;LATTES;Bâtiments communaux;28/déc/2000 12:00:00 AM;43.566667;3.9
34970;LATTES;Appareils publics;11/mai/2005 12:00:00 AM;43.566667;3.9
34970;LATTES;Appareils publics;11/mai/2005 12:00:00 AM;43.566667;3.9
34970;LATTES;Domestique;30/mai/2000 12:00:00 AM;43.56470;3.879276
34970;LATTES;Domestique;01/oct/2004 12:00:00 AM;43.566667;3.9
34970;LATTES;Domestique;24/nov/2006 12:00:00 AM;43.566667;3.9
34970;LATTES;Appareils publics;04/oct/2005 12:00:00 AM;43.566667;3.9
34970;LATTES;Appareils publics;15/févr/2008 12:00:00 AM;43.566667;3.9
34970;LATTES;Appareils publics;20/févr/2004 12:00:00 AM;43.566667;3.9
34970;LATTES;Appareils publics;21/août/2003 12:00:00 AM;43.566667;3.9
34970;LATTES;Domestique;09/mars/2000 12:00:00 AM;43.56125;3.896933
34970;LATTES;Domestique;06/févr/2001 12:00:00 AM;43.56721;3.914413
34970;LATTES;Domestique;15/févr/2002 12:00:00 AM;43.56768;3.908887
34970;LATTES;Domestique;23/juin/2000 12:00:00 AM;43.56072;3.878894
34970;LATTES;Domestique;18/févr/2000 12:00:00 AM;43.57678;3.902025
34970;LATTES;Domestique;27/juin/2000 12:00:00 AM;43.57198;3.907375
34970;LATTES;Domestique;17/oct/2000 12:00:00 AM;43.57285;3.915866
34970;LATTES;Bâtiments communaux;25/mai/2005 12:00:00 AM;43.58340;3.891387
34970;LATTES;Domestique;31/août/2001 12:00:00 AM;43.57400;3.915408
34970;LATTES;Domestique;29/sept/2000 12:00:00 AM;43.57696;3.915373
34970;LATTES;Domestique;09/janv/2002 12:00:00 AM;43.56731;3.902404
34970;LATTES;Domestique;14/mars/2000 12:00:00 AM;43.57948;3.906043
34970;LATTES;Domestique;05/juil/2002 12:00:00 AM;43.56404;3.873049
34970;LATTES;Domestique;19/mars/2004 12:00:00 AM;43.566667;3.9
34970;LATTES;Domestique;25/févr/2000 12:00:00 AM;43.57489;3.912871
34970;LATTES;Domestique;17/févr/2000 12:00:00 AM;43.587;3.921263
34970;LATTES;Domestique;18/mai/2000 12:00:00 AM;43.57726;3.903050
34970;LATTES;Domestique;19/déc/2000 12:00:00 AM;43.57646;3.902366
34970;LATTES;Domestique;07/déc/2000 12:00:00 AM;43.57646;3.902366
34970;LATTES;Domestique;08/janv/2003 12:00:00 AM;43.566667;3.9
34970;LATTES;Domestique;25/févr/2000 12:00:00 AM;43.57860;3.906181
34970;LATTES;Domestique;15/juin/2001 12:00:00 AM;43.58909;3.914839
34970;LATTES;Domestique;16/janv/2001 12:00:00 AM;43.57541;3.912117
34970;LATTES;Domestique;22/févr/2002 12:00:00 AM;43.58827;3.930445
34970;LATTES;Domestique;03/janv/2000 12:00:00 AM;43.57940;3.906282
34970;LATTES;Domestique;09/mars/2000 12:00:00 AM;43.57914;3.905455
34970;LATTES;Domestique;14/nov/2001 12:00:00 AM;43.566667;3.9
34970;LATTES;Domestique;25/nov/2002 12:00:00 AM;43.55802;3.872128
34970;LATTES;Domestique;03/juil/2002 12:00:00 AM;43.57366;3.910224
34970;LATTES;Domestique;31/oct/2002 12:00:00 AM;43.58414;3.919624
34970;LATTES;Domestique;05/déc/2001 12:00:00 AM;43.57102;3.911707
34970;LATTES;Domestique;05/sept/2000 12:00:00 AM;43.56571;3.901876
34970;LATTES;Domestique;01/sept/2000 12:00:00 AM;43.56566;3.903924
34970;LATTES;Domestique;18/avr/2003 12:00:00 AM;43.57902;3.921935
34970;LATTES;Domestique;03/janv/2003 12:00:00 AM;43.57943;3.906019
34970;LATTES;Domestique;04/déc/2002 12:00:00 AM;43.56330;3.871051
34970;LATTES;Domestique;19/janv/2001 12:00:00 AM;43.57861;3.904722
34970;LATTES;Domestique;04/juin/2003 12:00:00 AM;43.57728;3.909744
34970;LATTES;Domestique;18/juin/2003 12:00:00 AM;43.57290;3.909106
34970;LATTES;Domestique;26/avr/2000 12:00:00 AM;43.57720;3.902969
34970;LATTES;Domestique;05/juin/2002 12:00:00 AM;43.57649;3.902259
34970;LATTES;Domestique;04/juil/2000 12:00:00 AM;43.58993;3.925353
34970;LATTES;Domestique;25/oct/2002 12:00:00 AM;43.56442;3.876061
34970;LATTES;Domestique;31/mars/2000 12:00:00 AM;43.57924;3.906269
34970;LATTES;Domestique;29/sept/2000 12:00:00 AM;43.56239;3.896840
34970;LATTES;Domestique;19/févr/2003 12:00:00 AM;43.56725;3.913017
34970;LATTES;Domestique;15/juin/2001 12:00:00 AM;43.58864;3.929904
34970;LATTES;Domestique;28/janv/2000 12:00:00 AM;43.55821;3.890866
34970;LATTES;Domestique;31/mai/2000 12:00:00 AM;43.58858;3.930159
34970;LATTES;Domestique;08/mars/2001 12:00:00 AM;43.57674;3.903257
34970;LATTES;Domestique;17/mai/2002 12:00:00 AM;43.57240;3.911480
34970;LATTES;Domestique;01/août/2000 12:00:00 AM;43.57341;3.910983
34970;LATTES;Domestique;17/sept/2003 12:00:00 AM;43.566667;3.9
34970;LATTES;Domestique;04/avr/2002 12:00:00 AM;43.58917;3.922542
34970;LATTES;Domestique;19/oct/2001 12:00:00 AM;43.58864;3.929761
34970;LATTES;Domestique;17/déc/2004 12:00:00 AM;43.56169;3.897641
34970;LATTES;Domestique;28/nov/2002 12:00:00 AM;43.56401;3.897705
34970;LATTES;Domestique;04/mai/2007 12:00:00 AM;43.56999;3.910079
34970;LATTES;Domestique;26/juin/2002 12:00:00 AM;43.57022;3.911147
34970;LATTES;Domestique;28/juin/2002 12:00:00 AM;43.55975;3.903951
34970;LATTES;Domestique;09/août/2002 12:00:00 AM;43.56352;3.875643
34970;LATTES;Domestique;14/févr/2002 12:00:00 AM;43.55952;3.870056
34970;LATTES;Domestique;10/mai/2001 12:00:00 AM;43.56291;3.879584
34970;LATTES;Domestique;09/mars/2000 12:00:00 AM;43.56647;3.909824
34970;LATTES;Domestique;11/juin/2003 12:00:00 AM;43.55891;3.875912
34970;LATTES;Domestique;28/déc/2001 12:00:00 AM;43.56702;3.910723
34970;LATTES;Domestique;17/avr/2000 12:00:00 AM;43.55989;3.873184
34970;LATTES;Domestique;16/nov/2000 12:00:00 AM;43.57677;3.902319
34970;LATTES;Domestique;22/févr/2002 12:00:00 AM;43.56152;3.898284
34970;LATTES;Domestique;12/juil/2001 12:00:00 AM;43.56689;3.900955
34970;LATTES;Domestique;04/juil/2002 12:00:00 AM;43.566667;3.9
34970;LATTES;Domestique;02/juil/2001 12:00:00 AM;43.56127;3.897120
34970;LATTES;Domestique;12/janv/2001 12:00:00 AM;43.58878;3.926808
34970;LATTES;Domestique;12/avr/2002 12:00:00 AM;43.58837;3.920392
34970;LATTES;Domestique;01/août/2001 12:00:00 AM;43.56945;3.909684
34970;LATTES;Domestique;22/mai/2000 12:00:00 AM;43.55821;3.890866
34970;LATTES;Domestique;16/nov/2000 12:00:00 AM;43.57246;3.908880
34970;LATTES;Domestique;10/août/2000 12:00:00 AM;43.57017;3.916934
34970;LATTES;Domestique;20/sept/2002 12:00:00 AM;43.58870;3.922389
34970;LATTES;Domestique;07/févr/2000 12:00:00 AM;43.56185;3.895763
34970;LATTES;Domestique;08/janv/2003 12:00:00 AM;43.58886;3.921723
34970;LATTES;Domestique;12/avr/2002 12:00:00 AM;43.56371;3.875836
34970;LATTES;Domestique;30/oct/2002 12:00:00 AM;43.566667;3.9
34970;LATTES;Domestique;02/juil/2001 12:00:00 AM;43.57224;3.908305
34970;LATTES;Domestique;15/oct/2001 12:00:00 AM;43.57003;3.901947
34970;LATTES;Domestique;20/juin/2003 12:00:00 AM;43.57003;3.901947
34970;LATTES;Domestique;04/juin/2003 12:00:00 AM;43.57003;3.901947
34970;LATTES;Domestique;08/août/2001 12:00:00 AM;43.56471;3.876490
34970;LATTES;Domestique;21/août/2002 12:00:00 AM;43.56278;3.902598
34970;LATTES;Domestique;23/nov/2001 12:00:00 AM;43.56045;3.905738
34970;LATTES;Domestique;24/juin/2002 12:00:00 AM;43.56563;3.901478
34970;LATTES;Domestique;18/juin/2003 12:00:00 AM;43.56036;3.872244
34970;LATTES;Domestique;16/juin/2000 12:00:00 AM;43.57826;3.904847
34970;LATTES;Domestique;29/juin/2000 12:00:00 AM;43.57435;3.911696
34970;LATTES;Domestique;26/oct/2001 12:00:00 AM;43.566667;3.9
34970;LATTES;Domestique;09/nov/2002 12:00:00 AM;43.56407;3.903686
34970;LATTES;Domestique;02/avr/2003 12:00:00 AM;43.57280;3.907262
34970;LATTES;Domestique;08/juin/2005 12:00:00 AM;43.56391;3.897926
34970;LATTES;Domestique;06/déc/2002 12:00:00 AM;43.56781;3.900384
34970;LATTES;Domestique;29/juin/2000 12:00:00 AM;43.56698;3.906623
34970;LATTES;Domestique;03/mars/2003 12:00:00 AM;43.57801;3.903648
34970;LATTES;Domestique;06/mai/2002 12:00:00 AM;43.58965;3.927735
34970;LATTES;Domestique;29/mars/2001 12:00:00 AM;43.57827;3.906193
34970;LATTES;Domestique;22/nov/2000 12:00:00 AM;43.56075;3.873043
34970;LATTES;Domestique;27/juin/2000 12:00:00 AM;43.57374;3.913182
34970;LATTES;Domestique;10/août/2000 12:00:00 AM;43.56569;3.917068
34970;LATTES;Domestique;14/déc/2001 12:00:00 AM;43.57533;3.906674
34970;LATTES;Domestique;22/juin/2001 12:00:00 AM;43.58758;3.919255
34970;LATTES;Domestique;05/oct/2000 12:00:00 AM;43.57701;3.902442
34970;LATTES;Domestique;19/juin/2002 12:00:00 AM;43.55937;3.904437
34970;LATTES;Domestique;25/juin/2003 12:00:00 AM;43.566667;3.9
34970;LATTES;Domestique;22/mai/2002 12:00:00 AM;43.56170;3.873204
34970;LATTES;Domestique;21/mai/2003 12:00:00 AM;43.58476;3.931902
34970;LATTES;Domestique;02/févr/2001 12:00:00 AM;43.56402;3.878772
34970;LATTES;Domestique;17/avr/2003 12:00:00 AM;43.58762;3.919120
34970;LATTES;Domestique;28/févr/2003 12:00:00 AM;43.57245;3.908863
34970;LATTES;Domestique;20/juil/2001 12:00:00 AM;43.56687;3.905436
34970;LATTES;Domestique;03/mai/2000 12:00:00 AM;43.57377;3.913329
34970;LATTES;Domestique;18/sept/2002 12:00:00 AM;43.57135;3.908116
34970;LATTES;Domestique;28/sept/2007 12:00:00 AM;43.58928;3.927785
34970;LATTES;Domestique;27/févr/2001 12:00:00 AM;43.57003;3.901943
34970;LATTES;Domestique;03/juil/2002 12:00:00 AM;43.57490;3.913196
34970;LATTES;Domestique;18/juin/2003 12:00:00 AM;43.57610;3.910294
34970;LATTES;Domestique;08/oct/2001 12:00:00 AM;43.56088;3.905569
34970;LATTES;Domestique;28/nov/2000 12:00:00 AM;43.57673;3.902271
34970;LATTES;Domestique;03/oct/2000 12:00:00 AM;43.57645;3.902048
34970;LATTES;Domestique;05/mai/2003 12:00:00 AM;43.56120;3.872341
34970;LATTES;Domestique;20/janv/2000 12:00:00 AM;43.57860;3.905640
34970;LATTES;Domestique;21/sept/2000 12:00:00 AM;43.56161;3.877339
34970;LATTES;Domestique;05/sept/2001 12:00:00 AM;43.56285;3.872317
34970;LATTES;Domestique;21/janv/2000 12:00:00 AM;43.57863;3.906195
34970;LATTES;Domestique;07/mars/2000 12:00:00 AM;43.57864;3.905472
34970;LATTES;Domestique;19/sept/2000 12:00:00 AM;43.57396;3.910345
34970;LATTES;Domestique;17/avr/2001 12:00:00 AM;43.58841;3.926928
34970;LATTES;Domestique;28/mai/2003 12:00:00 AM;43.56137;3.876631
34970;LATTES;Domestique;07/juil/2000 12:00:00 AM;43.566667;3.9
34970;LATTES;Domestique;12/juil/2002 12:00:00 AM;43.58918;3.918355
34970;LATTES;Domestique;11/févr/2000 12:00:00 AM;43.57762;3.903067
34970;LATTES;Domestique;10/mai/2001 12:00:00 AM;43.566667;3.9
34970;LATTES;Domestique;23/mars/2000 12:00:00 AM;43.57877;3.906893
34970;LATTES;Domestique;25/juil/2001 12:00:00 AM;43.56416;3.874999
34970;LATTES;Domestique;07/déc/2000 12:00:00 AM;43.57819;3.904134
34970;LATTES;Domestique;30/nov/2001 12:00:00 AM;43.566667;3.9
34970;LATTES;Domestique;01/juin/2007 12:00:00 AM;43.56195;3.873925
34970;LATTES;Domestique;17/oct/2000 12:00:00 AM;43.57891;3.906954
34970;LATTES;Domestique;16/nov/2001 12:00:00 AM;43.56411;3.899010
34970;LATTES;Domestique;02/mars/2001 12:00:00 AM;43.56413;3.874963
34970;LATTES;Domestique;01/mars/2002 12:00:00 AM;43.566667;3.9
34970;LATTES;Domestique;29/mai/2001 12:00:00 AM;43.57068;3.908709
34970;LATTES;Domestique;20/nov/2002 12:00:00 AM;43.57684;3.902840
34970;LATTES;Domestique;14/nov/2001 12:00:00 AM;43.57677;3.902839
34970;LATTES;Domestique;05/mars/2001 12:00:00 AM;43.56145;3.876497
34970;LATTES;Domestique;02/juil/2003 12:00:00 AM;43.58841;3.927065
34970;LATTES;Domestique;22/févr/2000 12:00:00 AM;43.56209;3.880703
