course,stop_code,stop_id,stop_name,route_short_name,trip_headsign,direction,departure_time,is_theorical
268436742,JUSSIEUA,11121,A. L. JUSSIEU,10,AIGUELONGUE,1,07:27:07,1
268436754,JUSSIEUA,11121,A. L. JUSSIEU,10,AIGUELONGUE,1,08:03:07,1
268436744,JUSSIEUA,11121,A. L. JUSSIEU,10,AIGUELONGUE,1,08:44:07,1
268436756,JUSSIEUA,11121,A. L. JUSSIEU,10,AIGUELONGUE,1,09:25:07,1
268436746,JUSSIEUA,11121,A. L. JUSSIEU,10,AIGUELONGUE,1,10:05:07,1
268436758,JUSSIEUA,11121,A. L. JUSSIEU,10,AIGUELONGUE,1,10:46:07,1
268436748,JUSSIEUA,11121,A. L. JUSSIEU,10,AIGUELONGUE,1,11:26:07,1
268436760,JUSSIEUA,11121,A. L. JUSSIEU,10,AIGUELONGUE,1,12:05:07,1
268436750,JUSSIEUA,11121,A. L. JUSSIEU,10,AIGUELONGUE,1,12:46:07,1
268436762,JUSSIEUA,11121,A. L. JUSSIEU,10,AIGUELONGUE,1,13:25:07,1
268436777,JUSSIEUA,11121,A. L. JUSSIEU,10,AIGUELONGUE,1,14:06:07,1
268436766,JUSSIEUA,11121,A. L. JUSSIEU,10,AIGUELONGUE,1,14:46:07,1
268436779,JUSSIEUA,11121,A. L. JUSSIEU,10,AIGUELONGUE,1,15:26:07,1
268436768,JUSSIEUA,11121,A. L. JUSSIEU,10,AIGUELONGUE,1,16:06:07,1
268436781,JUSSIEUA,11121,A. L. JUSSIEU,10,AIGUELONGUE,1,16:46:07,1
268436770,JUSSIEUA,11121,A. L. JUSSIEU,10,AIGUELONGUE,1,17:26:07,1
268436637,JUSSIEUA,11121,A. L. JUSSIEU,10,AIGUELONGUE,1,18:07:07,1
268436772,JUSSIEUA,11121,A. L. JUSSIEU,10,AIGUELONGUE,1,18:47:07,1
268436639,JUSSIEUA,11121,A. L. JUSSIEU,10,AIGUELONGUE,1,19:25:40,1
268436774,JUSSIEUA,11121,A. L. JUSSIEU,10,AIGUELONGUE,1,20:30:40,1
268436742,AIGUELON,11201,AIGUELONGUE JUSS,10,AIGUELONGUE,1,07:28:00,1
268436754,AIGUELON,11201,AIGUELONGUE JUSS,10,AIGUELONGUE,1,08:04:00,1
268436744,AIGUELON,11201,AIGUELONGUE JUSS,10,AIGUELONGUE,1,08:45:00,1
268436756,AIGUELON,11201,AIGUELONGUE JUSS,10,AIGUELONGUE,1,09:26:00,1
268436746,AIGUELON,11201,AIGUELONGUE JUSS,10,AIGUELONGUE,1,10:06:00,1
268436758,AIGUELON,11201,AIGUELONGUE JUSS,10,AIGUELONGUE,1,10:47:00,1
268436748,AIGUELON,11201,AIGUELONGUE JUSS,10,AIGUELONGUE,1,11:27:00,1
