service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10-TR1,0,0,0,0,0,0,0,20130801,20131020
11-TR1,0,0,0,0,0,0,0,20130801,20131020
12-TR1,0,0,0,0,0,0,0,20130801,20131020
1-TR1,1,1,1,1,1,0,0,20130801,20131020
2-TR1,0,0,0,0,0,1,0,20130801,20131020
3-TR1,0,0,0,0,0,0,1,20130801,20131020
4-TR1,1,1,1,1,0,0,0,20130801,20131020
5-TR1,0,0,0,0,0,0,0,20130801,20131020
6-TR1,0,0,0,0,0,0,0,20130801,20131020
7-TR1,0,0,0,0,0,0,0,20130801,20131020
8-TR1,0,0,0,0,1,0,0,20130801,20131020
9-TR1,0,0,0,0,0,0,0,20130801,20131020
