service_id,date,exception_type
10-TR1,20130904,1
10-TR1,20130911,1
10-TR1,20130918,1
10-TR1,20130925,1
10-TR1,20131002,1
10-TR1,20131009,1
10-TR1,20131016,1
11-TR1,20130902,1
11-TR1,20130903,1
11-TR1,20130904,1
11-TR1,20130905,1
11-TR1,20130909,1
11-TR1,20130910,1
11-TR1,20130911,1
11-TR1,20130912,1
11-TR1,20130916,1
11-TR1,20130917,1
11-TR1,20130918,1
11-TR1,20130919,1
11-TR1,20130923,1
11-TR1,20130924,1
11-TR1,20130925,1
11-TR1,20130926,1
11-TR1,20130930,1
11-TR1,20131001,1
11-TR1,20131002,1
11-TR1,20131003,1
11-TR1,20131007,1
11-TR1,20131008,1
11-TR1,20131009,1
11-TR1,20131010,1
11-TR1,20131014,1
11-TR1,20131015,1
11-TR1,20131016,1
11-TR1,20131017,1
12-TR1,20130906,1
12-TR1,20130913,1
12-TR1,20130920,1
12-TR1,20130927,1
12-TR1,20131004,1
12-TR1,20131011,1
12-TR1,20131018,1
1-TR1,20130815,2
1-TR1,20130902,2
1-TR1,20130903,2
1-TR1,20130904,2
1-TR1,20130905,2
1-TR1,20130906,2
1-TR1,20130909,2
1-TR1,20130910,2
1-TR1,20130911,2
1-TR1,20130912,2
1-TR1,20130913,2
1-TR1,20130916,2
1-TR1,20130917,2
1-TR1,20130918,2
1-TR1,20130919,2
1-TR1,20130920,2
1-TR1,20130923,2
1-TR1,20130924,2
1-TR1,20130925,2
1-TR1,20130926,2
1-TR1,20130927,2
1-TR1,20130930,2
1-TR1,20131001,2
1-TR1,20131002,2
1-TR1,20131003,2
1-TR1,20131004,2
1-TR1,20131007,2
1-TR1,20131008,2
1-TR1,20131009,2
1-TR1,20131010,2
1-TR1,20131011,2
1-TR1,20131014,2
1-TR1,20131015,2
1-TR1,20131016,2
1-TR1,20131017,2
1-TR1,20131018,2
2-TR1,20130907,2
2-TR1,20130914,2
2-TR1,20130921,2
2-TR1,20130928,2
2-TR1,20131005,2
2-TR1,20131012,2
2-TR1,20131019,2
3-TR1,20130815,1
3-TR1,20130908,2
3-TR1,20130915,2
3-TR1,20130922,2
3-TR1,20130929,2
3-TR1,20131006,2
3-TR1,20131013,2
3-TR1,20131020,2
4-TR1,20130815,2
4-TR1,20130902,2
4-TR1,20130903,2
4-TR1,20130904,2
4-TR1,20130905,2
4-TR1,20130909,2
4-TR1,20130910,2
4-TR1,20130911,2
4-TR1,20130912,2
4-TR1,20130916,2
4-TR1,20130917,2
4-TR1,20130918,2
4-TR1,20130919,2
4-TR1,20130923,2
4-TR1,20130924,2
4-TR1,20130925,2
4-TR1,20130926,2
4-TR1,20130930,2
4-TR1,20131001,2
4-TR1,20131002,2
4-TR1,20131003,2
4-TR1,20131007,2
4-TR1,20131008,2
4-TR1,20131009,2
4-TR1,20131010,2
4-TR1,20131014,2
4-TR1,20131015,2
4-TR1,20131016,2
4-TR1,20131017,2
5-TR1,20130902,1
5-TR1,20130903,1
5-TR1,20130904,1
5-TR1,20130905,1
5-TR1,20130906,1
5-TR1,20130909,1
5-TR1,20130910,1
5-TR1,20130911,1
5-TR1,20130912,1
5-TR1,20130913,1
5-TR1,20130916,1
5-TR1,20130917,1
5-TR1,20130918,1
5-TR1,20130919,1
5-TR1,20130920,1
5-TR1,20130923,1
5-TR1,20130924,1
5-TR1,20130925,1
5-TR1,20130926,1
5-TR1,20130927,1
5-TR1,20130930,1
5-TR1,20131001,1
5-TR1,20131002,1
5-TR1,20131003,1
5-TR1,20131004,1
5-TR1,20131007,1
5-TR1,20131008,1
5-TR1,20131009,1
5-TR1,20131010,1
5-TR1,20131011,1
5-TR1,20131014,1
5-TR1,20131015,1
5-TR1,20131016,1
5-TR1,20131017,1
5-TR1,20131018,1
6-TR1,20130907,1
6-TR1,20130914,1
6-TR1,20130921,1
6-TR1,20130928,1
6-TR1,20131005,1
6-TR1,20131012,1
6-TR1,20131019,1
7-TR1,20130908,1
7-TR1,20130915,1
7-TR1,20130922,1
7-TR1,20130929,1
7-TR1,20131006,1
7-TR1,20131013,1
7-TR1,20131020,1
8-TR1,20130906,2
8-TR1,20130913,2
8-TR1,20130920,2
8-TR1,20130927,2
8-TR1,20131004,2
8-TR1,20131011,2
8-TR1,20131018,2
9-TR1,20130902,1
9-TR1,20130903,1
9-TR1,20130905,1
9-TR1,20130906,1
9-TR1,20130909,1
9-TR1,20130910,1
9-TR1,20130912,1
9-TR1,20130913,1
9-TR1,20130916,1
9-TR1,20130917,1
9-TR1,20130919,1
9-TR1,20130920,1
9-TR1,20130923,1
9-TR1,20130924,1
9-TR1,20130926,1
9-TR1,20130927,1
9-TR1,20130930,1
9-TR1,20131001,1
9-TR1,20131003,1
9-TR1,20131004,1
9-TR1,20131007,1
9-TR1,20131008,1
9-TR1,20131010,1
9-TR1,20131011,1
9-TR1,20131014,1
9-TR1,20131015,1
9-TR1,20131017,1
9-TR1,20131018,1
