stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
S3188,,Biste,43.6557721576119,4.0000557114274,1,
911,29104,Biste,43.6557721576119,4.0000557114274,0,S3188
934,29209,Biste,43.6558247439801,4.00014392067802,0,S3188
S3189,,Collège Le Bérange,43.6673413297462,4.0233917496602,1,
918,29111,Collège Le Bérange,43.6673413297462,4.0233917496602,0,S3189
926,29201,Collège Le Bérange,43.6673317650399,4.02342862183461,0,S3189
S3190,,Fenouillet,43.6635904255646,4.02178240531404,1,
917,29110,Fenouillet,43.6635904255646,4.02178240531404,0,S3190
927,29202,Fenouillet,43.6646747452601,4.02143050793526,0,S3190
S3191,,François Perroux,43.6536354310951,4.00103352330552,1,
919,29112,François Perroux,43.6536354310951,4.00103352330552,0,S3191
936,29213,François Perroux,43.6536354310951,4.00103352330552,0,S3191
S3192,,Gaston Baissette,43.664580696569,4.01706843958037,1,
928,29203,Gaston Baissette,43.664580696569,4.01706843958037,0,S3192
S3193,,Golf,43.6520219610824,4.00481238250628,1,
920,29120,Golf,43.6520219610824,4.00481238250628,0,S3193
S3194,,Le Grès,43.6625011360157,4.0091186760332,1,
914,29107,Le Grès,43.6625011360157,4.0091186760332,0,S3194
931,29206,Le Grès,43.662522738433,4.01004809954575,0,S3194
S3195,,Le Levant,43.6617039022968,4.01764007130183,1,
916,29109,Le Levant,43.6617039022968,4.01764007130183,0,S3195
S3196,,Mairie,43.6611525526901,4.01319050481901,1,
915,29108,Mairie,43.6611525526901,4.01319050481901,0,S3196
930,29205,Mairie,43.6617703240323,4.01277522254134,0,S3196
S3197,,Paradis,43.664095417784,4.01415623946003,1,
929,29204,Paradis,43.664095417784,4.01415623946003,0,S3197
S3198,,Paul Cézanne,43.659736395634,4.006511472525,1,
913,29106,Paul Cézanne,43.659736395634,4.006511472525,0,S3198
932,29207,Paul Cézanne,43.6601363860912,4.00680799260802,0,S3198
S3199,,Treille,43.6572436316497,4.00316950573506,1,
912,29105,Treille,43.6572436316497,4.00316950573506,0,S3199
933,29208,Treille,43.6576677310484,4.00365243525348,0,S3199
S3200,,Le Créant,43.727578524662,4.02857115833082,1,
951,31106,Le Créant,43.727578524662,4.02857115833082,0,S3200
957,31206,Le Créant,43.7275303031763,4.02878049421611,0,S3200
S3201,,Mairie,43.7288603379361,4.02073625784956,1,
1024,35109,Mairie,43.7288603379361,4.02073625784956,0,S3201
S3202,,..,43.6399527324603,3.92868889042722,1,
1234,42171,..,43.6399527324603,3.92868889042722,0,S3202
1265,42271,..,43.6399888596326,3.92867751910522,0,S3202
S3203,,Aube Rouge,43.6393914722445,3.92405602878819,1,
1042,35221,Aube Rouge,43.6393914722445,3.92405602878819,0,S3203
1230,42163,Aube Rouge,43.6385424965602,3.92493604745572,0,S3203
1237,42207,Aube Rouge,43.6385340549184,3.92489867744832,0,S3203
S3204,,Balestrier,43.6442698119465,3.90329490872889,1,
144,04169,Balestrier,43.6442698119465,3.90329490872889,0,S3204
146,04202,Balestrier,43.644216609946,3.90324393055571,0,S3204
S3205,,Buissonnets,43.6455104220422,3.90701814686909,1,
143,04168,Buissonnets,43.6455104220422,3.90701814686909,0,S3205
147,04203,Buissonnets,43.6454915517247,3.90707952701449,0,S3205
S3206,,Castelnau Zone d'Activités,43.6365033072149,3.92728064593749,1,
605,20116,Castelnau Zone d'Activités,43.6365033072149,3.92728064593749,0,S3206
637,20219,Castelnau Zone d'Activités,43.6366542556443,3.92740863105548,0,S3206
S3207,,Castors,43.6328261053058,3.90388446318563,1,
129,04127,Castors,43.6328261053058,3.90388446318563,0,S3207
1038,35214,Castors,43.6328473023183,3.90366225732107,0,S3207
